timestamp,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_q_6,target_q_7,target_q_8,target_q_9
1738237946.1319876,-0.027476743,-0.14401016,-0.04186173,0.014756247,-0.04683471,-0.06231907,-0.05328411,-0.040452726,0.008891135,-0.28798866
1738237946.145632,-0.019534461,0.06886958,-0.0060525863,0.09194542,-0.026223686,-0.092344284,0.044378463,-0.052437223,-0.12159118,-0.23887707
1738237946.1519406,-0.043814987,-0.066158034,-0.012758039,0.07369733,-0.20379826,-0.09486699,-0.003505066,-0.011039352,-0.22320609,-0.2781747
1738237946.1652577,0.06844276,-0.16693228,-0.05261015,0.077162914,-0.35774583,-0.11169641,-0.023974486,-0.024735803,-0.31372127,-0.3794837
1738237946.176357,0.1306263,-0.014978963,-0.029215196,0.071374044,-0.45564282,-0.12525919,-0.027812198,-0.015143577,-0.39692187,-0.48765358
1738237946.1855707,0.13317099,-0.034658775,-0.012783235,0.06759507,-0.7119105,-0.14516541,-0.140955,-0.024519524,-0.48958743,-0.5074017
1738237946.1974113,0.13791406,-0.09517143,-0.027076397,0.035952095,-0.7487669,-0.17655635,-0.133315,0.013108695,-0.5353571,-0.46101683
1738237946.2073271,0.17743962,0.028712627,-0.009388402,0.07124709,-0.5520731,-0.18342134,-0.002975721,0.059052184,-0.55330944,-0.37129304
1738237946.218085,0.14336449,0.04475195,-0.006838889,0.042070426,-0.5343652,-0.21879326,0.048799142,0.10258762,-0.5105124,-0.30975008
1738237946.229555,0.093871646,0.041095395,-0.02336566,0.02227468,-0.58800554,-0.22458991,0.07888426,0.10191302,-0.43728492,-0.36755326
1738237946.2390625,0.0716814,0.06716014,-0.0028222634,0.0042622425,-0.5643452,-0.23763126,0.09266573,0.098431,-0.37605152,-0.2986423
1738237946.2498262,0.05521369,0.06084804,-0.020248732,0.0128185935,-0.40598795,-0.235977,0.12480231,0.13191773,-0.31285584,-0.23747851
1738237946.2617326,0.067581296,0.016294915,-0.016299278,-0.0050248876,-0.17527387,-0.20769763,0.15460302,0.11903872,-0.29212633,-0.094729
1738237946.2734897,0.068963565,0.030555487,-0.041926082,0.015320748,-0.011212196,-0.10249062,0.026781015,0.050563194,-0.25062704,-0.08983948
1738237946.2829683,0.042755257,-0.021127602,-0.059905425,0.03314655,0.15505603,-0.08603688,-0.00464049,0.051168926,-0.18675819,-0.11250934
1738237946.293364,0.082959175,-0.030259304,-0.030219784,0.042517953,0.3033812,-0.03453628,-0.0058316477,0.022153787,-0.13289887,-0.1024735
1738237946.304286,0.05856145,-0.058679845,-0.03409093,0.022218842,0.4447031,-0.002329222,-0.05231884,0.01005602,-0.08098234,-0.049083114
1738237946.3153226,0.092353135,0.060150582,-0.01424077,0.048516065,0.47358197,0.002346984,0.11416721,0.037877776,-0.043512356,-0.20164904
1738237946.3264916,0.15496907,0.00094173197,-0.050359964,0.027799327,0.3961555,0.013885408,0.06318774,0.039288215,-0.009373745,-0.26217493
1738237946.3366146,0.12742367,-0.053880922,-0.07360851,-0.029481942,0.20051405,0.009684504,0.06441469,0.03554175,0.015552286,-0.29602098
1738237946.3467422,0.14385575,-0.006598468,-0.04750136,-0.098162,-0.013208494,-0.024454746,0.23623657,0.049893215,0.043959994,-0.40745223
1738237946.3578744,0.1679602,-0.0612826,-0.04725045,-0.1851112,-0.17448816,-0.054557752,0.2498528,0.041444816,0.068870455,-0.4941112
1738237946.3680499,0.18862604,-0.07162865,-0.051061083,-0.3150715,-0.32744494,-0.05189122,0.20289999,0.032032147,0.07357183,-0.49171922
1738237946.378898,0.21574602,-0.050177366,-0.045148972,-0.38767096,-0.43364358,-0.024358938,0.12798631,-0.02054565,0.07409716,-0.51046485
1738237946.3885527,0.20871533,-0.018691724,-0.07276584,-0.46021333,-0.51622206,-0.065054044,0.13109094,-0.013609765,0.10372695,-0.5818129
1738237946.4000103,0.23099166,0.009295895,-0.038678568,-0.52137613,-0.53346676,-0.06826508,0.06196605,-0.03402336,0.11403097,-0.5742399
1738237946.409703,0.24120094,0.034646958,-0.039478827,-0.56112313,-0.54058915,-0.06247827,-0.012828164,-0.059960164,0.12903357,-0.55191064
1738237946.4227498,0.23104976,0.025848892,-0.086038135,-0.5506872,-0.54941803,-0.082499295,0.0061926804,-0.054913208,0.1474498,-0.5734513
1738237946.4310467,0.2169554,0.049089964,-0.057010207,-0.54187477,-0.5956974,-0.09408293,0.016032547,-0.040315077,0.16111176,-0.62056804
1738237946.4430847,0.21515276,0.00980742,-0.04378373,-0.5038879,-0.5706153,-0.09719213,0.026841836,-0.04149086,0.16122475,-0.5379822
1738237946.4521282,0.19920646,-0.02154283,-0.05291526,-0.44739237,-0.5966671,-0.09607587,0.033921774,-0.048683397,0.15240063,-0.48682895
1738237946.4655573,0.19851677,-0.06305932,-0.048446864,-0.36631015,-0.5385759,-0.08092621,0.03388997,-0.041684173,0.15651773,-0.4755282
1738237946.4734828,0.18868788,-0.06335475,-0.041257437,-0.28879887,-0.47362283,-0.064276166,0.069297895,-0.02628954,0.16324669,-0.41033202
1738237946.484758,0.1738446,-0.08735672,-0.042085987,-0.22479555,-0.45707044,-0.05580711,0.090540096,-0.010532239,0.17041731,-0.3481413
1738237946.4950066,0.15870672,-0.09523409,-0.0365423,-0.16066273,-0.36034378,-0.034369044,0.091965735,0.017718092,0.16938835,-0.24143812
1738237946.5079594,0.12714115,-0.08397416,-0.047718864,-0.12361306,-0.25480828,-0.026688207,0.10191518,0.04312659,0.16267349,-0.13436688
1738237946.5167272,0.09453628,-0.081940874,-0.04368363,-0.07885194,-0.21655759,-0.014576236,0.092837274,0.057278417,0.16758676,-0.013910531
1738237946.5259633,0.05565724,-0.10825151,-0.041385014,-0.0039235502,-0.22736943,-0.045265965,0.034499083,0.053439803,0.14708841,0.10267839
1738237946.536726,0.045005392,-0.16320466,-0.0546937,0.0966717,-0.15302128,-0.08533289,-0.053577527,0.041540943,0.048600886,0.2837544
1738237946.5490663,0.063006565,-0.18237253,-0.073488615,0.10040675,-0.091677494,-0.12142686,-0.093503945,0.03922157,-0.05812177,0.40286216
1738237946.557718,0.0927213,-0.17244904,-0.080793075,0.11641103,-0.18711612,-0.14969766,-0.07136855,0.040919937,-0.101805836,0.37515557
1738237946.5686657,0.09550527,-0.0747472,-0.02685757,0.14794663,-0.26695982,-0.1632202,-0.033205815,0.056847416,-0.15540472,0.2405029
